(0):4,  7.500, 9.256
(1):9, 12.556,10.374
(2):9, 46.000,21.119
(3):17, 107.118,37.311
(4):11, 21.091,15.700
(5):7, 67.571,20.688
(6):4, 71.500,56.789
(7):10, 16.500,12.378
(8):2, 199.500, 1.000
(9):14, 106.500,70.148
(10):13, 29.000,29.232
(11):13, 32.000,39.328
(12):6, 20.667,15.912
(13):16,  7.625, 7.376
(14):11, 30.545,20.462
(15):22, 54.364,37.895
(16):14, 16.929,17.140
(17):6,  5.500, 2.000
(18):11, 12.818, 8.718
(19):10, 47.300,44.024
(20):50, 86.320,48.064
(21):8,  9.875, 6.897
(22):7,  5.857, 4.564
(23):4, 36.250,22.293
(24):38, 82.842,51.666
(25):8, 27.750,15.602
(26):12, 133.667,34.238
(27):10, 104.400,57.609
(28):10, 70.200,39.401
(29):12, 127.000,40.948
(30):6, 25.000,10.198
(31):1, 126.000, 0.000
(32):15, 11.600, 9.404
(33):6, 70.667,43.304
(34):3, 105.333,27.541
(35):18, 111.333,63.190
(36):3, 138.000,23.431
(37):11, 115.818,33.856
(38):10, 15.600,14.799
(39):2, 72.500,58.694
(40):8, 85.375,53.219
(41):9, 15.556, 5.256
(42):11, 11.182, 5.158
(43):11, 92.545,38.630
(44):4, 27.750, 6.351
(45):13, 23.538,12.955
(46):14, 17.214, 5.015
(47):8, 41.375,14.755
(48):6,  2.500, 0.632
(49):10, 98.200,74.056
(50):14, 28.500,24.664
(51):4,  3.250, 2.236
(52):8, 15.500,11.856
(53):6,  9.000, 5.441
(54):5,  9.000, 7.000
(55):11, 122.727,54.875
(56):10, 88.000,44.282
(57):23, 99.130,45.589
(58):28, 63.321,37.145
(59):11, 25.727,14.174
(60):5, 154.800,62.264
(61):8,  8.250, 4.071
(62):4, 26.000, 8.485
(63):15,  5.800, 5.886
(64):20, 73.950,36.388
(65):20, 86.900,79.365
(66):4, 95.000,71.698
(67):16, 50.813,36.215
(68):13, 14.462,13.940
(69):7,  1.000, 1.000
(70):12, 71.167,43.992
(71):11, 20.909,21.755
(72):13, 92.923,71.646
(73):18, 135.833,34.872
(74):23, 85.304,68.759
(75):9, 17.556,10.753
(76):11,  9.636, 6.790
(77):4, 131.250,34.598
(78):11, 14.727,16.343
(79):19, 86.737,78.300
(80):12, 25.500,14.700
(81):6, 21.333,15.232
(82):13, 34.615,23.029
(83):6, 79.167,25.911
(84):10, 32.800,26.825
(85):15, 95.733,46.684
(86):11, 13.909,13.722
(87):8, 159.500,73.366
(88):11, 15.364,11.362
(89):13, 13.615,17.039
(90):5, 12.000, 3.674
(91):5, 110.400,77.811
(92):3, 141.667,56.890
(93):9, 12.556, 9.624
(94):14, 98.571,71.086
(95):8, 82.500,16.169
(96):4, 80.500, 7.594
(97):19, 85.158,54.834
(98):13, 18.769,24.026
(99):6,  3.000, 1.897
(100):9, 65.778,41.614
(101):17, 106.471,53.387
(102):5,  5.600, 8.456
(103):6, 80.333,35.037
(104):9,  2.667, 1.000
(105):17, 109.706,76.938
(106):13, 87.077,52.274
(107):26, 80.308,60.137
(108):21, 75.429,42.735
(109):8, 63.250,53.868
(110):14, 133.643,68.229
(111):14, 17.500,11.361
(112):10, 71.900,56.408
(113):23, 69.696,54.774
(114):11, 65.273,49.849
(115):9,  8.000, 2.958
(116):15,  5.200, 7.751
(117):17, 41.706,46.735
(118):31, 82.613,41.465
(119):4,  6.000, 4.690
(120):5,  6.400, 1.732
(121):17, 36.118,29.682
(122):16, 115.438,28.849
(123):17,  9.824, 6.869
(124):20, 41.150,30.256
(125):23, 75.043,37.305
(126):12, 137.333,47.792
(127):11, 109.000,74.569
(128):12, 129.000,31.001
